clicked_news	category	subcategory	title
N1	No category	No subcategory	Se lesernes nyttårsbilder
N2	100sport	vintersport	Her koker det over for Tønseth. Så stakk han fra stadion i sinne.
N3	nyheter	innenriks	Én av tre nordmenn vil trene mer i 2017
N4	nyheter	okonomi	Rema reklamerer med bokstaven æ
N5	nyheter	trondheim	- Det blir fyrverkeri
N6	nyheter	sortrondelag	Slik så det ut i containeren da politiet åpnet dørene
N7	No category	No subcategory	VIDEO: Torturkjeller
N8	100sport	sjakk	På dette bildet skiller Magnus Carlsen seg ut: - Litt tilfeldig
N9	No category	No subcategory	Hvem syns du er Årets trønder?
N10	No category	No subcategory	Fem grafer som forteller hva nordmenn gjør på nyttårsaften
N11	nyheter	trondheim	Her kan du sende opp fyrverkeri
N12	100sport	vintersport	Norsk løper reiser hjem fra Tour de Ski
N13	nyheter	sortrondelag	Slik blir ferieåret 2017
N14	100sport	vintersport	Northugs trener tror ikke Sundby vinner Tour de Ski
N15	nyheter	moreromsdal	Mann (78) funnet død i en kum ved riksvei i Gjemnes
N16	No category	No subcategory	Advarer mot kraftige vindkast i indre strøk av Trøndelag
N17	nyheter	sortrondelag	Hurtigruta snudde på Folda
N18	pluss	okonomi	Nyttårskvelden er skapt for sprudlende drikke
N19	No category	No subcategory	Trondheim, fra havna mot Rockheim
N20	100sport	vintersport	Stina Nilsson parkerte de norske jentene på sprinten
N21	nyheter	trondheim	I dag åpnet nytt lekeland på Lade
N22	nyheter	trondheim	For første gang kan folk kjøpe dette på nyttårsaften
N23	nyheter	okonomi	Byggeboom gir kraftig vekst for Hent
N24	No category	No subcategory	Trondheim, utløpet av Nidelva
N25	100sport	vintersport	Trodde du at 2017 blir et kjedelig idrettsår? Tro om igjen
N26	nyheter	trondheim	Brannutrykning til kjøkken på Singsaker
N27	100sport	fotball	Slik blir fotball-VM i Qatar
N28	nyheter	innenriks	Trondheim bruker 500 000 kroner mindre enn Stavanger
N29	No category	No subcategory	Boligmarkedet 2017: Tror det blir en kamp om objektene
N30	100sport	mesterskap	Quiz: Hvem er mannen som hilser på Kong Harald på dette bildet?
N31	100sport	sjakk	Da konfettien dalte ned, rant begeret over for Magnus Carlsen
N32	No category	No subcategory	Hestsjøen vil rammes av nytt deponi
N33	nyheter	innenriks	15 000 mer i engangsbeløp til nybakte foreldre
N34	100sport	fotball	- La oss håpe at Viking blir norges ledende lag i «gegenpress»
N35	100sport	vintersport	Koteng: - Vanskelig å få investorer
N36	No category	No subcategory	Uværet traff Trøndelag
N37	nyheter	oppdraget	Kildesortering?
N38	No category	No subcategory	QUIZ: Hvilke kommuner skal egentlig slå seg sammen?
N39	nyheter	sortrondelag	Nå blir det ny vei mellom Trondheim og Klæbu
N40	nyheter	utenriks	Slik feires nyttårsaften
N41	pluss	magasin	Trond og Aleksander har hatt julepynten framme i tre måneder. Nå er de klare for nyttårsfest.
N42	nyheter	trondheim	Vi har samlet fyrverkeribilder fra 11 år tilbake
N43	nyheter	trondheim	Milliard-feilgrepet
N44	No category	No subcategory	Test av vinterdekk: Dette er de beste vinterdekkene
N45	pluss	kultur	Slik skal de innrede nye Britannia
N46	nyheter	okonomi	Nidar har doblet smågodtsalget og er helt tom for julemarsipan
N47	nyheter	trondheim	- Dette er så lavmål. Min bror var på gråten
N48	pluss	magasin	Historiske trøndelagsbilder: Denne ferske bileieren var ekstremt uheldig
N49	nyheter	trondheim	Fikk du med deg dette værfenomenet i dag?
N50	forbruker	hjem	Slik gir du bestemors stol nytt liv
N51	No category	No subcategory	Mener informasjonen er tydelig
N52	nyheter	trondheim	Interessen for disse bøkene har tatt helt av i Trondheim
N53	No category	No subcategory	Ary fra Trondheim med musikken til NRKs nye krigsdrama
N54	nyheter	trondheim	Beboere føler seg maktesløse
N55	100sport	sjakk	Magnus Carlsen avslo tilbud fra Real Madrid
N56	No category	No subcategory	Varsler snøbyger og sterk vind
N57	nyheter	trondheim	- Jeg trodde i fullt alvor at det skulle bli bra
N58	No category	No subcategory	Åtte minutter og seks sekunder film på turné i USA
N59	pluss	kultur	Det beste pinnekjøttet er ikke av sau
N60	nyheter	trondheim	- Jeg har aldri sett noe slikt før
N61	No category	No subcategory	E6 Oppdal
